Algorithm,,10 D,,,20 D,,,All,
S-LSHADE-DP,59,69,23,48,57,28,54,63,27
IUMOEAII,54,65,29,26,36,17,40,50,19
EA4EigN100_10,49,61,28,31,43,22,40,52,23
NL-SHADE-RSP-MID,48,60,32,28,40,21,38,50,23
NL-SHADE-LBC,50,61,36,25,37,22,37,49,24
NLSOMACLP,40,56,18,28,42,15,34,49,16
OMCSOMA,41,58,10,24,42,13,33,50,12
jSObinexpEig,38,54,21,25,37,18,31,46,19
MTT-SHADE,34,48,28,25,35,22,29,42,23
Co-PPSO,32,45,24,14,29,7,23,37,10
MVMO,21,30,13,25,31,12,23,30,12
ZOCMAES,21,41,18,20,32,18,20,37,18
IMPML-SHADE,27,52,15,13,37,6,20,45,7
TLBO,28,38,19,10,21,9,18,29,11
HS,2,21,0,0,16,0,1,19,0
SPHH-Ensemble,0,26,0,0,11,0,0,18,0
